date,views,likes,comments
2020-02-27,72399,1900,116
2020-02-26,87461,3000,427
2020-02-26,57481,1700,148
2020-02-25,59822,1800,129
2020-02-20,134854,2600,142
2020-02-20,77041,2200,96
2020-02-19,98908,3800,155
2020-02-18,53259,1300,113
2020-02-17,64639,1700,155
2020-02-15,75350,1600,102
2020-02-14,64652,1000,53
2020-02-14,48064,819,33
2020-02-14,28088,452,45
2020-02-14,21480,434,25
2020-02-14,22465,385,16
2020-02-14,11823,186,4
2020-02-14,98997,2800,58
2020-02-14,129559,4900,237
2020-02-14,54101,1300,117
2020-02-13,120594,2800,133
2020-02-11,64358,1500,75
2020-02-11,169000,3300,75
2020-02-10,164801,2800,37
2020-02-10,201498,4900,124
2020-02-10,50243,607,42
2020-02-10,117315,2200,63
2020-02-10,628108,8300,119
2020-02-10,167186,2700,73
2020-02-10,127877,3400,85
2020-02-10,366877,8500,156
2020-02-07,423974,12000,641
2020-02-06,86918,2500,226
2020-02-05,133552,5200,714
2020-02-05,65545,1600,210
2020-02-04,149470,5100,296
2020-02-04,42596,662,150
2020-02-01,204511,7700,526
2020-01-30,124215,3000,819
2020-01-29,245127,6900,427
2020-01-29,136878,3700,424
2020-01-28,289446,10000,341
2020-01-28,116496,3000,240
2020-01-28,51746,1300,251
2020-01-27,524857,10000,1496
2020-01-24,95974,1900,216
2020-01-23,175715,5300,188
2020-01-23,107782,2800,421
2020-01-22,182602,4300,153
2020-01-21,1456978,40000,2631
2020-01-21,241891,7600,255
2020-01-18,135994,2500,454
2020-01-17,68177,1900,200
2020-01-17,149450,3900,401
2020-01-15,57588,1400,135
2020-01-15,99279,2500,173
2020-01-14,126139,2800,91
2020-01-14,42554,1100,412
2020-01-13,49325,1300,110
2020-01-10,210310,5200,322
2020-01-09,243257,4300,219
2020-01-08,142911,3200,325
2020-01-08,155782,3000,121
2020-01-08,67286,1900,172
2020-01-07,76623,2600,247
2020-01-06,173160,7700,395
2020-01-03,79649,1800,69
2020-01-03,70975,2200,108
2020-01-02,50925,1200,165
2020-01-02,29893,632,62
2019-12-23,140972,2600,230
2019-12-21,527637,19000,641
2019-12-21,390545,10000,1350
2019-12-20,67486,1700,215
2019-12-19,43124,1100,165
2019-12-19,376108,9000,214
2019-12-19,69258,1300,244
2019-12-17,504823,11000,328
2019-12-17,75101,1800,884
2019-12-14,118171,2500,339
2019-12-13,333722,2400,434
2019-12-12,71767,2100,166
2019-12-11,180729,4200,206
2019-12-10,157903,5000,342
2019-12-07,143089,4000,351
2019-12-06,52177,1200,120
2019-12-05,32328,791,141
2019-12-05,59514,1400,176
2019-12-03,51057,885,309
2019-11-30,133540,5700,207
2019-11-27,169660,4400,1050
2019-11-27,51826,942,52
2019-11-26,138222,4300,398
2019-11-24,71034,1700,243
2019-11-23,2070390,49000,944
2019-11-23,49053,832,45
2019-11-23,42048,1000,78
2019-11-22,65344,2000,265
2019-11-21,66379,1500,117
2019-11-20,73198,2100,291
2019-11-19,89418,3000,146
2019-11-16,53143,1400,61
2019-11-15,48010,1000,295
2019-11-15,50580,1200,79
2019-11-14,2362021,51000,5333
2019-11-14,44685,1000,577
2019-11-13,98005,3300,504
2019-11-12,44720,1200,67
2019-11-12,39811,1100,490
2019-11-09,51081,1100,62
2019-11-08,35576,1100,243
2019-11-07,35338,802,36
2019-11-07,48824,1500,69
2019-11-07,64065,2100,184
2019-11-06,73606,1500,73
2019-11-05,133805,3400,621
2019-11-05,36121,993,98
2019-11-05,225939,7200,396
2019-11-02,684245,18000,1856
2019-11-01,31774,1200,616
2019-10-31,87489,2700,224
2019-10-31,24819,521,34
2019-10-31,971466,16000,3324
2019-10-30,139677,3300,157
2019-10-29,41551,1700,122
2019-10-28,32263,1000,144
2019-10-26,81816,2100,207
2019-10-25,36632,1100,42
2019-10-24,55255,1800,184
2019-10-24,54407,1500,104
2019-10-23,33052,960,148
2019-10-22,35976,1000,811
2019-10-19,2061030,64000,12010
2019-10-18,40132,1000,112
2019-10-17,197675,7600,371
2019-10-17,60979,2100,299
2019-10-15,44601,1300,125
2019-10-15,59374,1200,128
2019-10-15,111445,3600,187
2019-10-12,39157,1000,176
2019-10-11,8353874,278000,13574
2019-10-11,38978,1100,75
2019-10-10,58574,1700,376
2019-10-08,217373,6400,264
2019-10-08,71370,2000,384
2019-10-05,337370,11000,525
2019-10-04,82818,2900,1160
2019-10-03,78625,2100,561
2019-10-03,112799,3800,379
2019-10-02,180208,5500,2139
2019-10-01,220238,7000,373
2019-09-30,63390,1500,74
2019-09-30,567490,6200,519
2019-09-29,88511,2500,231
2019-09-28,53004,1800,149
2019-09-27,106118,3600,509
2019-09-27,2241798,100000,5070
2019-09-25,706810,25000,2777
2019-09-25,207428,7500,272
2019-09-24,43005,1400,351
2019-09-23,542959,11000,732
2019-09-22,317874,7200,1306
2019-09-20,92167,2600,667
2019-09-20,61448,1300,51
2019-09-18,124921,5600,420
2019-09-18,105878,2300,174
2019-09-17,84965,2100,157
2019-09-16,24583,620,129
2019-09-13,143730,3800,254
2019-09-12,3791458,214000,4353
2019-09-12,37006,1000,182
2019-09-11,157082,4200,168
